"SITE","STONE","DISC_CIRC","DISC_WHEN","DISC_WHO","SUBSQ_HIST","CURRENT_SEtting","CURRENT_LOcation","LOC_NOTES","MON_FORM","FORM_NOTES","COMPLETENEss","PRESERVATIon","PRESCONDNOtes","M_SOURCE","M_HEIGHT","M_HT_STATUs","M_WIDTH","M_WDTH_STAtus","M_THICKNESs","M_THCK_STAtus","I_SOURCE","I_HT_FEET","I_HT_INCHEs","I_HT_STATUs","I_WD_FEET","I_WD_INCHEs","I_WDTH_STAtus","I_TH_FEET","I_TH_INCHEs","I_THCK_STAtus","STONE_TYPE","NO_CARVED","DECOR_NOTEs","VISITED"
CLMAC,74,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,frgmntry,poor,,converted,0.61,actual,0.46,actual,0.06,actual,Macalister/1949,2,0,actual,1,6,actual,0,2.5,actual,,1,,
CLMAC,75,"first mentioned",1872,"G. Petrie",,inc,"on site",,slbcr,,complete,good,,converted,0.84,actual,0.69,actual,0.06,actual,Macalister/1949,2,9,actual,2,3,actual,0,2.25,actual,,1,,
CLMAC,76,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,incomplete,poor,,converted,0.43,actual,0.43,actual,0.06,actual,Macalister/1949,1,5,actual,1,5,actual,0,2.25,actual,,1,,
CLMAC,77,"first mentioned",1909,"R.A.S. Macalister",,inc,"on site",,slbcr,,frgmntry,some,,converted,0.42,actual,0.23,actual,0.1,actual,Macalister/1949,1,4.5,actual,0,9,actual,0,4,actual,,1,,
CLMAC,78,"first mentioned",1869,"J. Graves",,inc,"on site",,slbcr,,frgmntry,poor,,converted,0.34,actual,0.2,actual,0.13,actual,Macalister/1949,1,1.5,actual,0,8,actual,0,5,actual,,1,,
CLMAC,79,"first mentioned",1872,"G. Petrie",,inc,"on site",,slbcr,,complete,some,,converted,0.76,actual,0.56,actual,0.15,actual,Macalister/1949,2,6,actual,1,10,actual,0,6,actual,,1,,
CLMAC,80,"first mentioned",1869,"J. Graves",,inc,"on site",,slbcr,,incomplete,some,,converted,0.61,actual,0.53,actual,0.06,actual,Macalister/1949,2,0,actual,1,9,actual,0,2.5,actual,,1,,
CLMAC,81,"first mentioned",1872,"Burton Conyngham",,inc,"on site",,slbcr,,complete,good,,converted,0.71,actual,0.51,actual,0.06,actual,Macalister/1949,2,4,actual,1,8,actual,0,2.5,actual,,1,,
CLMAC,82,"first mentioned",1822,"Dr. G. Petrie",,inc,"on site",,slbcr,,complete,good,,converted,0.99,actual,0.62,actual,0.04,actual,Macalister/1949,3,3,actual,2,0.5,actual,0,1.5,actual,,1,,
CLMAC,83,"first mentioned",1899,"R.A.S. Macalister",,lost,lost,,slbcr,,frgmntry,poor,,converted,0.29,actual,0.18,actual,0.04,actual,Macalister/1949,0,11.5,actual,0,7,actual,0,1.75,actual,,1,,
CLMAC,84,"first mentioned",1872,inc,,inc,"on site",,slbcr,,complete,some,,converted,0.71,actual,0.43,actual,0.05,actual,Macalister/1949,2,4,actual,1,5,actual,0,2,actual,,1,,
CLMAC,85,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,incomplete,some,,converted,0.53,actual,0.53,actual,0.1,actual,Macalister/1949,1,9,actual,1,9,actual,0,4,actual,,1,,
CLMAC,86,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,complete,some,,converted,0.76,actual,0.51,actual,0.11,actual,Macalister/1949,2,6,actual,1,8,actual,0,4.25,actual,,1,,
CLMAC,87,"non-arch dig",1781,"K. Molloy",,inc,"on site",,slbcr,,frgmntry,poor,,converted,0.38,actual,0.25,actual,0.05,actual,Macalister/1949,1,3,actual,0,10,actual,0,2,actual,,1,,
CLMAC,88,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,frgmntry,poor,,converted,0.41,actual,0.46,actual,0.06,actual,Macalister/1949,1,4,actual,1,6,actual,0,2.5,actual,,1,,
CLMAC,89,"first mentioned",1821,"G. Petrie",,inc,"on site",,slbcr,,frgmntry,poor,,converted,0.24,actual,0.44,actual,0.07,actual,Macalister/1949,0,9.5,actual,1,5.25,actual,0,2.75,actual,,1,,
CLMAC,90,"first mentioned",1909,"R.A.S. Macalister",,inc,"on site",,slbcr,,incomplete,some,,converted,0.43,actual,0.56,actual,0.06,actual,Macalister/1949,1,5,actual,1,10,actual,0,2.5,actual,,1,,
CLMAC,91,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,complete,good,,converted,1.16,actual,0.61,actual,0.13,actual,Macalister/1949,3,9.5,actual,2,0,actual,0,5,actual,,1,,
CLMAC,92,"first mentioned",1872,"J. Graves",,inc,"on site",,slbcr,,frgmntry,poor,,converted,0.48,actual,0.44,actual,0.1,actual,Macalister/1949,1,7,actual,1,5.5,actual,0,3.75,actual,,2,,
CLMAC,93,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,incomplete,some,,converted,0.55,actual,0.46,actual,0.05,actual,Macalister/1909,1,9.5,actual,1,6,actual,0,2,actual,,1,,
CLMAC,94,"first mentioned",1909,"R.A.S. Macalister",,inc,"on site",,slbcr,,frgmntry,some,,converted,0.38,actual,0.14,actual,0.05,actual,Macalister/1949,1,3,actual,0,5.5,actual,0,2,actual,,1,,
CLMAC,95,"first mentioned",1869,"J. Graves",,inc,"on site",,slbcr,,incomplete,good,,converted,0.46,actual,0.34,actual,0.08,actual,Macalister/1949,1,6,actual,1,1.5,actual,0,3,actual,,1,,
CLMAC,96,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,incomplete,good,,converted,0.56,actual,0.46,actual,0.08,actual,Macalister/1949,1,10,actual,1,6,actual,0,3,actual,,1,,
CLMAC,97,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,complete,good,,converted,0.66,actual,0.61,actual,0.06,actual,Macalister/1949,2,2,actual,2,0,actual,0,2.5,actual,,1,,
CLMAC,98,"first mentioned",1899,"R.A.S. Macalister",,inc,"on site",,slbcr,,frgmntry,poor,,converted,0.34,actual,0.61,actual,0.06,actual,Macalister/1949,1,1.25,actual,2,0,actual,0,2.5,actual,,1,,
CLMAC,99,"first mentioned",1800,"J. Graves",,inc,"on site",,nboul,,incomplete,some,,converted,0.57,actual,0.39,actual,0.13,actual,Macalister/1949,1,10.5,actual,1,3.5,actual,0,5.25,actual,,1,,
CLMAC,100,"first mentioned",1872,"G. Petrie",,inc,"on site",,slbcr,,complete,good,,converted,0.71,actual,0.51,actual,0.1,actual,Macalister/1949,2,4,actual,1,8,actual,0,4,actual,,1,,
CLMAC,101,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,incomplete,poor,,converted,0.47,actual,0.43,actual,0.04,actual,Macalister/1949,1,6.5,actual,1,5,actual,0,1.5,actual,,1,,
CLMAC,102,"first mentioned",1909,"R.A.S. Macalister",,inc,"on site",,slbcr,,frgmntry,poor,,converted,0.33,actual,0.3,actual,0.05,actual,Macalister/1949,1,1,actual,1,0,actual,0,2,actual,,1,,
CLMAC,103,"first mentioned",1909,"R.A.S. Macalister",,inc,"on site",,slbcr,,frgmntry,poor,,converted,0.48,actual,0.36,actual,0.03,actual,Macalister/1949,1,7,actual,1,2,actual,0,1.25,actual,,1,,
CLMAC,104,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,complete,some,,converted,0.86,actual,0.48,actual,0.06,actual,Macalister/1949,2,10,actual,1,7,actual,0,2.5,actual,,1,,
CLMAC,105,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,incomplete,some,,converted,0.66,actual,0.26,actual,0.13,actual,Macalister/1949,2,2,actual,0,10.25,actual,0,5,actual,,1,,
CLMAC,106,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,incomplete,good,,converted,1.04,actual,0.71,actual,0.05,actual,Macalister/1909,3,5,actual,2,4,actual,0,2,actual,,1,,
CLMAC,107,"first mentioned",1909,"R.A.S. Macalister",,inc,"on site",,slbcr,,frgmntry,good,,converted,0.35,actual,0.47,actual,,actual,Macalister/1949,1,1.75,actual,1,6.5,actual,,2.5,actual,,1,,
CLMAC,108,"first mentioned",1872,"Mr. O'Neill",,inc,"on site",,slbcr,,complete,good,,converted,1.12,actual,0.56,actual,0.07,actual,Macalister/1949,3,8,actual,1,10,actual,0,2.75,actual,,1,,
CLMAC,109,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,incomplete,n/a,,converted,,n/a,,n/a,,n/a,Macalister/1949,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,110,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,complete,some,,converted,0.69,actual,0.48,actual,0.1,actual,Macalister/1949,2,3,actual,1,7,actual,0,4,actual,,1,,
CLMAC,111,"first mentioned",1909,"R.A.S. Macalister",,inc,"on site",,slbcr,,complete,good,,converted,0.91,actual,0.52,actual,0.1,actual,Macalister/1949,3,0,actual,1,8.5,actual,0,4,actual,,1,,
CLMAC,112,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,complete,good,,converted,1.07,actual,0.53,actual,0.11,actual,Macalister/1949,3,6,actual,1,9,actual,0,4.5,actual,,1,,
CLMAC,113,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,complete,some,,converted,0.97,actual,0.58,actual,0.08,actual,Macalister/1949,3,2,actual,1,11,actual,0,3,actual,,1,,
CLMAC,114,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,complete,good,,converted,0.81,actual,0.61,actual,0.05,actual,Macalister/1949,2,8,actual,2,0,actual,0,2,actual,,1,,
CLMAC,115,"first mentioned",1869,"J. Graves",,inc,"on site",,slbcr,,incomplete,some,,converted,0.48,actual,0.51,actual,,actual,Macalister/1949,1,7,actual,1,8,actual,,2.75,actual,,1,,
CLMAC,116,"first mentioned",1848,"Dr. Todd",,inc,"on site",,slbcr,,complete,good,,converted,0.79,actual,0.53,actual,0.06,actual,Macalister/1949,2,7,actual,1,9,actual,0,2.5,actual,,1,,
CLMAC,117,"first mentioned",1869,"J. Graves",,inc,"on site",,slbcr,,incomplete,some,,converted,0.79,actual,0.61,actual,0.05,actual,Macalister/1949,2,7,actual,2,0,actual,0,2,actual,,1,,
CLMAC,118,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,complete,some,,converted,0.99,actual,0.66,actual,0.05,actual,Macalister/1949,3,3,actual,2,2,actual,0,2,actual,,1,,
CLMAC,119,"first mentioned",1822,"G. Petrie",,"in display",museum,,slbcr,,complete,good,,converted,0.3,actual,0.25,actual,0.03,actual,Macalister/1949,1,0,actual,0,10,actual,0,1.25,actual,,1,,
CLMAC,120,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,incomplete,good,,converted,0.58,actual,0.51,actual,0.05,actual,Macalister/1949,1,11,actual,1,8,actual,0,2,actual,,1,,
CLMAC,121,"first mentioned",1854,"G.V. du Noyer",,inc,"on site",,slbcr,,complete,good,,converted,0.99,actual,0.53,actual,0.11,actual,Macalister/1949,3,3,actual,1,9,actual,0,4.5,actual,,1,,
CLMAC,122,"first mentioned",1909,"R.A.S. Macalister",,inc,"on site",,slbcr,,incomplete,good,,converted,0.56,actual,0.43,actual,0.04,actual,Macalister/1949,1,10,actual,1,5,actual,0,1.5,actual,,1,,
CLMAC,123,"first mentioned",1872,"G. Petrie",,inc,"on site",,slbcr,,frgmntry,good,,converted,0.28,actual,0.3,actual,0.06,actual,Macalister/1949,0,11,actual,1,0,actual,0,2.5,actual,,1,,
CLMAC,124,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,complete,good,,converted,1.02,actual,0.53,actual,0.08,actual,Macalister/1949,3,4,actual,1,9,actual,0,3,actual,,1,,
CLMAC,125,"first mentioned",1869,"Margaret Stokes",,inc,"on site",,slbcr,,complete,poor,,converted,0.53,actual,0.35,actual,0.1,actual,Macalister/1949,1,9,actual,1,1.75,actual,0,4,actual,,1,,
CLMAC,126,"first mentioned",1909,"R.A.S. Macalister",,inc,"on site",,slbcr,,frgmntry,good,,converted,0.38,actual,0.2,actual,0.04,actual,Macalister/1949,1,3,actual,0,8,actual,0,1.75,actual,,1,,
CLMAC,127,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,incomplete,poor,,converted,0.58,actual,0.53,actual,0.05,actual,Macalister/1949,1,11,actual,1,9,actual,0,2,actual,,1,,
CLMAC,128,"first mentioned",1909,"R.A.S. Macalister",,inc,"on site",,slbcr,,frgmntry,good,,converted,0.27,actual,0.23,actual,0.05,actual,Macalister/1949,0,10.5,actual,0,9,actual,0,2,actual,,1,,
CLMAC,129,"first mentioned",1878,"G. Petrie",,inc,"on site",,slbcr,,incomplete,poor,,converted,0.64,actual,0.3,actual,0.1,actual,Macalister/1949,2,1,actual,1,0,actual,0,4,actual,,1,,
CLMAC,130,"first mentioned",1872,"C.A. Vignoles",,"in display",museum,,ind,,frgmntry,poor,,converted,0.15,actual,0.09,actual,0,uncertain,Macalister/1949,0,5.75,actual,0,3.5,actual,0,0,uncertain,,0,,
CLMAC,131,"first mentioned",1909,"R.A.S. Macalister",,inc,"on site",,slbcr,,frgmntry,poor,,converted,0.3,actual,0.25,actual,0.1,actual,Macalister/1949,1,0,actual,0,10,actual,0,4,actual,,1,,
CLMAC,132,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,complete,poor,,converted,0.61,actual,0.48,actual,0.05,actual,Macalister/1949,2,0,actual,1,7,actual,0,2,actual,,1,,
CLMAC,133,"non-arch dig",1868,"Rev. J. Graves",,inc,"on site",,slbcr,,complete,good,,converted,0.74,actual,0.53,actual,0.05,actual,Macalister/1949,2,5,actual,1,9,actual,0,2,actual,,1,,
CLMAC,134,"first mentioned",1909,"R.A.S. Macalister",,inc,"on site",,slbcr,,frgmntry,poor,,converted,0.41,actual,0.27,actual,0.08,actual,Macalister/1949,1,4,actual,0,10.5,actual,0,3,actual,,1,,
CLMAC,135,"first mentioned",1909,"R.A.S. Macalister",,inc,"on site",,slbcr,,incomplete,some,,converted,0.49,actual,0.25,actual,0.06,actual,Macalister/1949,1,7.25,actual,0,10,actual,0,2.5,actual,,1,,
CLMAC,136,"first mentioned",1909,"R.A.S. Macalister",,inc,"on site",,slbcr,,frgmntry,poor,,converted,0.61,actual,0.46,actual,0.06,actual,Macalister/1949,2,0,actual,1,6,actual,0,2.5,actual,,1,,
CLMAC,137,"first mentioned",1869,"Rev. J. Graves",,inc,"on site",,slbcr,,frgmntry,poor,,converted,0.44,actual,0.51,actual,0.06,actual,Macalister/1949,1,5.5,actual,1,8,actual,0,2.5,actual,,1,,
CLMAC,138,"first mentioned",1869,"Rev. J. Graves",,inc,"on site",,slbcr,,incomplete,some,,converted,0.84,actual,0.3,actual,0.14,actual,Macalister/1949,2,9,actual,1,0,actual,0,5.5,actual,,1,,
CLMAC,139,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,incomplete,poor,,converted,0.62,actual,0.38,actual,0.06,actual,Macalister/1949,2,0.5,actual,1,3,actual,0,2.5,actual,,1,,
CLMAC,140,"first mentioned",1869,"Rev. J. Graves",,inc,"on site",,slbcr,,incomplete,poor,,converted,0.83,actual,0.43,actual,0.11,actual,Macalister/1949,3,7.5,actual,1,5,actual,0,4.5,actual,,1,,
CLMAC,141,"first mentioned",1822,"G. Petrie",,"in struct","on site",,slbcr,,incomplete,some,,converted,1.02,actual,0.38,actual,0,uncertain,Macalister/1949,3,4,actual,1,3,actual,0,0,uncertain,,1,,
CLMAC,142,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,complete,good,,converted,0.91,actual,0.56,actual,0.11,actual,Macalister/1949,3,0,actual,1,10,actual,0,4.25,actual,,1,,
CLMAC,143,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,complete,good,,converted,0.56,actual,0.36,actual,0.18,actual,Macalister/1949,1,10,actual,1,2,actual,0,7,actual,,1,,
CLMAC,144,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,complete,good,,converted,0.91,actual,0.56,actual,0.06,actual,Macalister/1949,3,0,actual,1,10,actual,0,2.5,actual,,1,,
CLMAC,145,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,incomplete,poor,,converted,0.89,actual,0.74,actual,0.05,actual,Macalister/1949,2,11,actual,2,5,actual,0,2,actual,,1,,
CLMAC,146,"first mentioned",1869,"Rev. J. Graves",,inc,"on site",,slbcr,,incomplete,poor,,converted,0.81,actual,0.66,actual,0.08,actual,Macalister/1949,2,8,actual,2,2,actual,0,3,actual,,1,,
CLMAC,147,"first mentioned",1872,"M. Stokes",,inc,"on site",,slbcr,,frgmntry,poor,,converted,0.3,actual,0.25,actual,0.04,actual,Macalister/1949,1,0,actual,0,10,actual,0,1.75,actual,,1,,
CLMAC,148,"first mentioned",1872,"Rev. C. Graves",,inc,"on site",,slbcr,,frgmntry,poor,,converted,0.25,actual,0.14,actual,0.07,actual,Macalister/1949,0,9.75,actual,0,5.5,actual,0,2.75,actual,,1,,
CLMAC,149,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbcr,,complete,poor,,converted,1.55,actual,0.53,actual,0.06,actual,Macalister/1949,5,1,actual,1,9,actual,0,2.5,actual,,1,,
CLMAC,150,"first mentioned",1909,"R.A.S. Macalister",,inc,"on site",,slbcr,,complete,some,,converted,1.02,actual,0.62,actual,0.1,actual,Macalister/1949,3,4,actual,2,0.5,actual,0,4,actual,,1,,
CLMAC,151,"non-arch dig",1909,"H.S. Crawford",,inc,"on site",,slbcr,,frgmntry,good,,converted,,uncertain,,uncertain,,uncertain,Macalister/1909,,,uncertain,,,uncertain,,,uncertain,,1,,
CLMAC,152,"first mentioned",1822,"G. Petrie",,inc,"on site",,slbns,,complete,good,,converted,,n/a,,n/a,,n/a,Lionard/1961,,,n/a,,,n/a,,,n/a,,0,,
CLMAC,153,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,inc,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,154,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,inc,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,155,"in/on structure",1869,"Rev. J. Graves",,lost,lost,,ind,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,0,,
CLMAC,156,"first mentioned",1822,G.Petrie,,lost,lost,,slbcr,,frgmntry,some,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,157,"first mentioned",1822,G.Petrie,,lost,lost,,fragy,,frgmntry,some,,converted,,inc,,inc,,inc,Petrie/1872,,,inc,,,inc,,,inc,,1,,
CLMAC,158,"first mentioned",1822,"Petrie, G.,",,lost,lost,,fragy,,frgmntry,n/a,,converted,,inc,,inc,,inc,Petrie/18722,,,inc,,,inc,,,inc,,1,,
CLMAC,159,"first mentioned",1822,"G. Petrie",,lost,lost,,fragy,,frgmntry,poor,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,160,"first mentioned",1822,G.Petrie,,lost,lost,,frag,,frgmntry,poor,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,161,"first mentioned",1822,G.Petrie,,lost,lost,,fragy,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,162,"first mentioned",1822,"Petrie, G.,",,lost,lost,,fragy,,inc,n/a,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,163,"first mentioned",1822,"G. Petrie",,lost,lost,,fragy,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,164,"first mentioned",1822,"G. Petrie",,lost,lost,,fragy,,frgmntry,,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,165,"first mentioned",1822,"G. Petrie",,lost,lost,,fragy,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,166,"first mentioned",1822,"G. Petrie",,lost,lost,,fragy,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,167,"first mentioned",1822,"G. Petrie",,lost,lost,,fragy,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,168,"first mentioned",1822,"G. Petrie",,lost,lost,,fragy,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,169,"first mentioned",1822,"G. Petrie",,lost,lost,,fragy,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,170,"first mentioned",1822,"G. Petrie",,lost,lost,,fragy,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,171,"first mentioned",1822,"G. Petrie",,lost,lost,,fragy,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,172,"first mentioned",1822,"G. Petrie",,lost,lost,,fragy,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,173,"first mentioned",1822,"G. Petrie",,lost,lost,,fragy,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,174,"first mentioned",1822,"G. Petrie",,lost,lost,,fragy,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,175,"first mentioned",1822,"G. Petrie",,lost,lost,,fragy,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,176,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,inc,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,177,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,inc,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,178,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,179,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,180,"first mentioned",1843,"G. Petrie",,lost,lost,,slbcr,,n/a,n/a,,converted,1.22,uncertain,0.91,uncertain,0,n/a,Petrie/1843,4,0,uncertain,3,0,uncertain,0,0,n/a,,1,,
CLMAC,181,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,182,"first mentioned",1822,"G. Petrie",,lost,lost,,slbns,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,0,,
CLMAC,183,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,184,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,185,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,186,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,187,"first mentioned",1872,"Col. Burton",,lost,lost,,slbcr,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,188,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,189,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,190,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,191,"first mentioned",1822,"M. Stokes",,lost,lost,,slbcr,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,192,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,193,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,194,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,195,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,196,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,frgmntry,some,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,197,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,198,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,199,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,200,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
CLMAC,201,"in/on structure",1822,"G. Petrie",,lost,lost,,slbcr,,frgmntry,some,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,0,,
CLMAC,202,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,frgmntry,poor,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,0,,
CLMAC,203,"first mentioned",1822,"G. Petrie",,lost,lost,,slbcr,,frgmntry,inc,,converted,,n/a,,n/a,,n/a,Petrie/1872,,,n/a,,,n/a,,,n/a,,1,,
